Nama Rumah Sakit,Kode Rumah Sakit,Jenis Rumah Sakit,URL,Tanggal Registrasi,Alamat,Kab/Kota,Kodepos,Telp,Kelas Rumah Sakit,Direktur,Penyelenggara,Update,Fax,Email,Humas,Website,Dokter Spesialis Anak,Dokter Spesialis Obstetri dan Ginekologi,Dokter Spesialis Penyakit Dalam,Dokter Spesialis Bedah,Dokter Spesialis Radiologi,Dokter Spesialis Rehabilitasi Medik,Dokter Spesialis Anestesiologi dan Terapi Intensif,Dokter Spesialis Jantung dan Pembuluh Darah,Dokter Spesialis Mata,Dokter Spesialis Telinga Hidung Tenggorokan,Dokter Spesialis Kedokteran Jiwa atau Psikiatri,Dokter Umum,Dokter GIGI,Dokter Spesialis GIGI,Perawat,Bidan,Farmasi,Tenaga Kesehatan Lainnya,Kamar VVIP,Kamar VIP,Kamar Kelas Satu,Kamar Kelas Dua,Kamar Kelas Tiga,Tenaga Kerja Non Kesehatan,Luas Tanah,Luas Bangunan,No Surat Izin,Tanggal Surat Izin,Surat Izin dari,Sifat Surat Izin
RSIA Paramount,7371428,RSIA,https://medicalclinic.id/rumah-sakit/daerah/kota-makassar/rsia-paramount.html,  12/06/2017, Jl. Andi Pangeran Pettarani No 82 Makassar, Kota Makassar, 90222, 0411 4671666, B," dr. Muhammad Nadjib, MM, AAAK", Perusahaan, 17/06/2017, 0411 4671999, rsiaparamounthospital@gmail.com, 0411 4671666,-, 6,-, 1, 1,-,-,-,-,-,-,  0, 6, 4,-,-,-, 3,-, 10 Ruang, 28 Ruang, 15 Ruang, 68 Ruang, 32 Ruang, 15, 4000 m2, 30.800 m2, 1/J.09.P/P2T/05/2017, 23/05/2017, Gubernur Sulawesi Selatan, Tetap
RSU Balimed Negara,5101055,RSU,https://medicalclinic.id/rumah-sakit/daerah/jembrana/rsu-balimed-negara.html,  13/06/2017, Jalan Hayam Wuruk No 23 Negara, Jembrana, 82218, 0365-4501452, C, dr. Kadek Dian Lestari, Swasta/Lainnya, 17/06/2017,-, balimednegara@yahoo.com,-,-, 2,-, 2, 2, 1,-,-,-, 1, 2,  0, 8, 2,-,-,-, 4,-, 3 Ruang, 16 Ruang, 18 Ruang, 12 Ruang, 16 Ruang, 39, 5000 m2, 1149 m2, 503/115/OP.RS.01/KES/DPMPTSPTK/IV/2017, 21/04/2017, Pemerintah Kabupaten Jembrana, Perpanjang
RSUD H. Abdul Manap,1571158,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-jambi/rsud-h.-abdul-manap.html,  20/12/2010, Jl. SK.Rd.Syahbuddin Kel. Mayang Mangurai Kec.Kota Baru Jambi, Kota Jambi, 36129, 0741-670149, C, Dr. Rudi Maruli H Pardede, Pemkot, 16/06/2017, 0741 670459, rsud_ham.jambi@yahoo.co.id, 0741 670149, rsud.jambikota.go.id, 2,-, 3, 3, 1,-, 1, 1, 2, 2,  0, 23, 4,-, 94, 47, 7,-, Ruang, 10 Ruang, 24 Ruang, 45 Ruang, 101 Ruang, 149, 46.630 m2, 17296 m2, 223 tahun 2016, 07/04/2016, walikota, Tetap
RSUD Waras Wiris,3309096,RSU,https://medicalclinic.id/rumah-sakit/daerah/boyolali/rsud-waras-wiris.html,  22/06/2011, Jl. Raya Karanggede - Gemolong Km. 13 Andong Kab.Boyolali, Boyolali, 57374, 081575290555, D, dr. Puji Astuti, Pemkab, 16/06/2017,-, rsudwaras-wiris@boyolali.go.id, 08122981365, -,-,-, 1, 1, 1,-, 1,-, 1, 1,  0, 4, 1,-, 53, 13, 4, 17, Ruang, Ruang, 16 Ruang, 15 Ruang, 24 Ruang, 13, 10625 m2," 4012,92 m2", 645.3/944/30/V/TAHUN 2015, 12/05/2015, Kepala BPMP2T Kab. Boyolali, Perpanjang
RSUD Kabupaten Klungkung,5105013,RSU,https://medicalclinic.id/rumah-sakit/daerah/klungkung/rsud-kabupaten-klungkung.html,  00/00/0000, Jl. Flamboyan No. 40 Semarapura, Klungkung, 80713, 0366-21172, B," dr. I Nyoman Kesuma, MPH", Pemkab, 16/06/2017, 0366-21371, rsud@klungkungkab.go.id, 087861569133, http://rsud.klungkungkab.go.id, 5,-, 3, 3, 2,-, 2,-, 1, 2,  3, 27, 4,-, 199, 48, 9, 62, 2 Ruang, 18 Ruang, 15 Ruang, 19 Ruang, 65 Ruang, 214, 23885 m2, 10480 m2, 440/844.6/DPMPTSP-A/2017, 23/01/2017, Gubernur Bali, Tetap
RS Jiwa Provinsi Bali,5106025,RS Jiwa,https://medicalclinic.id/rumah-sakit/daerah/bangli/rs-jiwa-provinsi-bali.html,  15/01/2017, Jl.Kusuma Yudha No. 29 Bangli, Bangli, 80613, 0366-91073, A," dr. Gede Bagus Darmayasa, M.Repro", Pemprop, 16/06/2017, 0366-91074, rsjiwaprovinsibali@gmail.com, 085857327171, www.rsjiwa.baliprov.go.id,-,-, 1,-,-,-,-,-,-,-,  5, 22, 2,-, 178,-, 5, 37, Ruang, 10 Ruang, 12 Ruang, 56 Ruang, 322 Ruang, 97," 77,85 m2"," 9,646 m2", HK.02.03/I/0063/2015, 08/01/2015, MENTERI KESEHATAN REPUBLIK INDONESIA, Tetap
RSUD Kabupaten Sorong,9171010,RSU,https://medicalclinic.id/rumah-sakit/daerah/sorong/rsud-kabupaten-sorong.html,  17/12/2012, Jl. Kesehatan No. 36 Sorong, Sorong, -, 0951 - 321850, C," dr. JERRY NIKIJULUW, Sp.B", Pemkab, 16/06/2017, 0951 - 321763, rsud.kabsorong@gmail.com, 085344115620, rsudkabsorong.com, 1,-, 1, 5,-,-,-,-,-, 1,  0, 9, 2,-, 216, 21, 7, 18, Ruang, 13 Ruang, 14 Ruang, 8 Ruang, 132 Ruang, 77, 30.000 m2, 6.452 m2, 445/1033, 05/09/2012, BUPATI SORONG, Perpanjang
RSU Arsani,1902042,RSU,https://medicalclinic.id/rumah-sakit/daerah/bangka/rsu-arsani.html,  16/06/2017, Jl. Raya Air Kenanga Kec. Sungailiat Kab. Bangka Prov. Kepulauan Bangka Belitung More ..., Bangka, 33215, 0717-4297825, C," dr.Nursakti Awan Adhi, MM", Swasta/Lainnya, 16/06/2017, 0717-4297834, rs.arsani@yahoo.com, 081367354558, -, 1,-, 2, 1, 1,-, 1, 1, 1, 1,  0, 8, 1,-,-,-, 4,-, Ruang, 5 Ruang, 27 Ruang, 12 Ruang, 23 Ruang, 54, 3200 m2, 4800.88 m2, 441.7/01/OP.RS/BP2TPM/VIII/2016, 09/08/2016, BUPATI BANGKA, Tetap
RS Siti Miriam,3507100S,RSU,https://medicalclinic.id/rumah-sakit/daerah/malang/rs-siti-miriam.html,  17/02/2012," Jl. dr. Wahidin No.101, Lawang", Malang, -, 0341 - 426057/F, D," dr. Antonius Ardijanto Maatita,MMRS", Organisasi Katholik, 16/06/2017,-,-, -, http://rs-sitimiriam.com, 2,-, 1,-,-,-, 1,-,-,-,  0, 7, 1,-, 7, 7, 1,-, Ruang, 1 Ruang, 2 Ruang, 6 Ruang, 31 Ruang, 34, 1320 m2, 344 m2, 503/0001/IORS/35.07.303/2016, 22/01/2016, Badan Pelayanan Perizinan Terpadu, Tetap
RSU Kumala Siwimijen Kudus,3319022,RSU,https://medicalclinic.id/rumah-sakit/daerah/kudus/rsu-kumala-siwimijen-kudus.html,  31/08/2012, Jl. Jepara KM. 6 Desa Mijen Kec. Kaliwungu, Kudus, 59361, 0291-4245551, D," dr. Sofwan Dahlan, Sp. F(K)", Organisasi Sosial, 16/06/2017, 0291-4245548, info@rsukumalasiwi.com, 0291-4245554, www.rsukumalasiwi.com, 2,-, 2, 1, 2,-, 1,-, 1,-,  0, 10, 2, 1, 40, 11, 5, 23, 2 Ruang, 12 Ruang, 4 Ruang, 8 Ruang, 35 Ruang, 92, 20000 m2, 7000 m2, 445/1483.B/04, 20/06/2014, Bupati Kudus, Tetap
Rumah Sakit Pratama Sangkulirang,6404051,RSU,https://medicalclinic.id/rumah-sakit/daerah/kutai-timur/rumah-sakit-pratama-sangkulirang.html,  12/04/2017, Jalan Wana Bhakti Desa Benua Baru Ulu, Kutai Timur, 75384, 085248284818, D Pratama, dr.Said Muchdar Bin Smith, Pemkab, 16/06/2017,-, rsu.sangkulirang@gmail.com, 081215400600,-, 1,-,-,-,-,-,-,-,-,-,  0, 5, 1,-,-,-, 2,-, Ruang, Ruang, Ruang, Ruang, 20 Ruang, 38, 12800 m2," 2942,06 m2", 445/K.829/2016, 17/11/2016, Bupati Kutai Timur, Perpanjang
RS Jiwa Naimata,5371059,RS Jiwa,https://medicalclinic.id/rumah-sakit/daerah/kota-kupang/rs-jiwa-naimata.html,  14/06/2017," Jln. Taebenu RT, 007 RW 003, Kelurahan Naimata Kecamatan Maulafa Kota Kupang", Kota Kupang, 85111, 0380 825212,-, Dr. Dickson A. Legoh, Pemprop, 16/06/2017, 0380 825212, yankesrujukanntt@gmail.com, 0380 825212, -,-,-,-,-,-,-,-,-,-,-,  1,-,-,-,-,-,-,-, Ruang, Ruang, Ruang, Ruang, 100 Ruang,-, 50.000 m2, 3.200 m2, 445.10/04/DPM-PTSP/2017, 24/05/2017, Gubernur Nusa Tenggara Timur, Tetap
RS. KARTINI RANGKASBITUNG,3602012,RSU,https://medicalclinic.id/rumah-sakit/daerah/lebak/rs.-kartini-rangkasbitung.html,  15/06/2017," Jl. Sunan Kalijaga No. 325, Blok Papanggo, Cijoro Pasir, Rangkasbitung, Lebak, B More ...", Lebak, 42314, 0252204333, C," dr. Noor Yulia, MM", Perusahaan, 16/06/2017,-, rskartinirangkasbitung@yahoo.com,-, www.rumahsakitkartini.com, 1,-, 2, 2, 1,-, 1,-,-,-,  0, 9, 1,-,-,-, 2,-, 7 Ruang, 5 Ruang, 22 Ruang, 36 Ruang, 16 Ruang, 15, 1000 m2, 3724 m2, 01/36.02/IOT/Kes/DPMPTSP/2017, 21/04/2017, BUPATI,-
RSUD Prabumulih,1672015,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-prabumulih/rsud-prabumulih.html,  01/01/2012," Jl. Lingkar, Kel. Gunung Ibul, Kec. Prabumulih Timur", Kota Prabumulih, 31111, 0713-3300400, C," dr. Hj. Rusmini, M.Kes", Pemkot, 15/06/2017, 0713-3300404, office@rsprabumulih.co.id, 0713-3300400, www.rsprabumulih.co.id, 2,-, 3, 1, 1, 1, 1,-, 3, 1,  0, 10, 5,-, 215, 77, 5, 101, 9 Ruang, 8 Ruang, 18 Ruang, 26 Ruang, 126 Ruang,-, 72624 m2, 192439 m2, 174/KPTS/Dinkes 2016, 17/02/2016, Walikota Prabumulih, Sementara
RSU Cilacap,3301014,RSU,https://medicalclinic.id/rumah-sakit/daerah/cilacap/rsu-cilacap.html,  07/12/2015, Jl. Gatot Subroto 28 Cilacap RT 04 / RW O5, Cilacap, 53223, 0282-533010, B," dr. PRAMESTI GRIANA DEWI, M.Kes. M.Si", Pemkab, 15/06/2017, 0282-520755, bludrsudclp@gmail.com cc progbangrsudclp@yahoo.com, 081327323323, www.rsud.cilacapkab.go.id, 2,-, 3, 2, 1,-, 2,-, 2, 1,  1, 18, 2,-, 174, 39, 12,-, 26 Ruang, 35 Ruang, 42 Ruang, 49 Ruang, 108 Ruang, 252, 68504 m2, 14061 m2, 445/10131/2016, 11/10/2016, Kepala Badan Penanaman Modal Prov.Jateng, Tetap
RSU Wonosobo,3307013,RSU,https://medicalclinic.id/rumah-sakit/daerah/wonosobo/rsu-wonosobo.html,  18/01/2013," Jl. Setjonegoro No.1,Wonosobo", Wonosobo, 56311, 0286-321091, C," Dr. MOHAMAD RIYATNO, M.Kes", Pemkab, 15/06/2017, 0286-323873, rsudsetjonegoro@yahoo.co.id, 0286-321091, rsud.wonoosobokab.go.id, 3,-, 3, 2, 2, 1, 1,-, 1, 1,  0, 13, 2,-, 185, 22, 6, 49, Ruang, 15 Ruang, 26 Ruang, 27 Ruang, 100 Ruang, 32, 7445 m2," 5207,7 m2", 445.8/515/2012, 18/12/2012, Bupati Wonosobo, Tetap
RSU  Mitra Siaga,3376023,RSU,https://medicalclinic.id/rumah-sakit/daerah/tegal/rsu--mitra-siaga.html,  31/03/2012, Jl. Pala Raya No.54 Tegal, Tegal, 52181, 0283-322550, C," dr. Wahyu Heru Triyono, M.Kes", BUMN, 15/06/2017, 0283-351518, rsms.tegal@gmail.com, 0283 322550, www.mitrasiaga.co.id, 3,-, 3, 1, 2, 1, 2, 2, 1, 1,  3, 11, 1,-, 68, 6, 3, 40, 6 Ruang, 14 Ruang, 30 Ruang, 24 Ruang, 40 Ruang, 41, 16500 m2, 14529.72 m2, 440/01/2012, 10/04/2012, Badan Pelayanan Perijinan Terpadu, Tetap
RSUD Gambiran,3571016,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-kediri/rsud-gambiran.html,  04/05/2016, Jl. KH Wahid Hasyim 64 Kediri, Kota Kediri, 64114, 0354-773097, B," dr. FAUZAN ADIMA, M.Kes", Pemkot, 15/06/2017, 0354-773097, rsud_gambiran@yahoo.com,-, www.rsudgambiran.com, 2,-, 4, 2, 4, 1, 3, 1, 2, 3,  1, 18, 3, 1, 306, 59, 12, 132, 15 Ruang, 38 Ruang, 34 Ruang, 36 Ruang, 94 Ruang, 349, 17.323 m2, 9.196 m2, P2T/1/03.22/02/IV/2015, 29/04/2016, KEPALA BADAN PENANAMAN MODAL PROV. JATIM, Tetap
RSIA Muhammadiyah Kediri,3571122,RSIA,https://medicalclinic.id/rumah-sakit/daerah/kota-kediri/rsia-muhammadiyah-kediri.html,  00/00/0000, Jl. Gatot Subroto No. 84 Kediri, Kota Kediri, 64112, (0354) 773115, C," dr. Erika Widayanti Lestari,MMR", Organisasi Sosial, 15/06/2017, 0354773115/124, rsmad.kotakediri@yahoo.com, (0354) 773115, rsmadkotakediri.com, 1,-, 2, 2, 1, 1, 1, 1, 1, 1,  0, 3, 3,-,-,-, 3,-, 2 Ruang, 21 Ruang, 12 Ruang, 34 Ruang, 54 Ruang,-, -8.850 m2, -25800 m2, -445/619/419.41/2013, 04/03/2013, -Dinas Kesehatan Kota Kediri, Perpanjang
RSU Dr. H.RM Soeselo W,3328011,RSU,https://medicalclinic.id/rumah-sakit/daerah/tegal/rsu-dr.-h.rm-soeselo-w.html,  05/03/2013, Jl. Dr. Sutomo No.63 Slawi Kabupaten Tegal, Tegal, 52419, 0283-491016, B," dr. Widodo Joko Mulyono, M.Kes, M.M.", Pemkab, 15/06/2017, 0283-491016, rsud.soeselo@yahoo.com, 0283-491016, www.rsudsoeselo.com, 4,-, 4, 2, 2, 1, 2, 1, 1, 1,  1, 14, 3,-, 127, 10, 7,-, Ruang, 36 Ruang, 35 Ruang, 39 Ruang, 266 Ruang, 127, 47125 m2, 31200 m2, 135, 17/02/2011, Gubernur Prov. Jateng, Tetap
RSIA Kumala Siwi,3320044,RSIA,https://medicalclinic.id/rumah-sakit/daerah/jepara/rsia-kumala-siwi.html,  28/03/2012, Jl. Raya Pecangaan No. 115 Pecangaan Jepara, Jepara, 59462, 0291755184, C, dr.Arief Yustiawan, Swasta/Lainnya, 15/06/2017, 0291755787, Rsiakumalasiwi@yahoo.com, 0291755184, www.rsiakumalasiwi.com, 1,-, 1,-, 1,-, 1,-,-,-,  0, 6,-,-, 13, 14, 1, 7, Ruang, 3 Ruang, 4 Ruang, 6 Ruang, 24 Ruang, 18, 1595 m2, 679.2 m2, 004/445/OPT-RS/11.25/2012, 14/08/2012, BPMPPT, Tetap
"RSUD, dr. D.Anatototi",8101064,RSU,"https://medicalclinic.id/rumah-sakit/daerah/maluku-tenggara-barat/rsud,-dr.-d.anatototi.html",  05/04/2016, Larat KEc. Tanimbar Utara Kab MTB, Maluku Tenggara Barat, 97664, 082197695596, D," dr. Theodorus Resilowy, MARS", Pemkab, 15/06/2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0,-,-,-,-,-,-,-, Ruang, Ruang, Ruang, Ruang, Ruang,-, m2, m2,-, 00/00/0000,-,-
RSUD Pongtiku,7326002,RSU,https://medicalclinic.id/rumah-sakit/daerah/toraja-utara/rsud-pongtiku.html,  21/12/2016, Mapaken Tallunglipu Kecamatan Tallunglipu, Toraja Utara,-, 0423 2810572, D," dr. Daniel Eddy Tarukallo, Sp.Pd, MH", Pemkab, 15/06/2017, 0423 2810475, irawatibidang@ymail.com, 081341584948,-, 1,-, 1, 2,-,-,-,-,-, 1,  0, 6, 1,-,-,-, 2,-, Ruang, Ruang, Ruang, Ruang, 50 Ruang, 15, 60.000 m2, 2.000 m2, 01/SK/IOP-RS/KPPTSP/X/2016, 27/10/2016, KANTOR PELAYANAN PERIZINAN TERPADU SATU, Perpanjang
RSIA KARYA JAYA,1275920,RSIA,https://medicalclinic.id/rumah-sakit/daerah/kota-medan/rsia-karya-jaya.html,  23/05/2017, JL KARYA JAYA NO 182 MEDAN, Kota Medan,-, 081269708010, Belum Ditetapkan," dr. M. Ikhwan, Sp. OG", Swasta/Lainnya, 15/06/2017,-, rsiakaryajaya@gmail.com, 081269708010,-, 1,-,-, 1,-,-, 1,-,-,-,  0, 5,-,-,-,-, 1,-, Ruang, 7 Ruang, 2 Ruang, 6 Ruang, 8 Ruang, 6, 750 m2, m2, 445/444-32/XI/2016, 11/11/2016, DINAS KESEHATAN KOTA MEDAN, Tetap
RSGM IIK BHAKTI WIYATA,3506065,RSK,https://medicalclinic.id/rumah-sakit/daerah/kota-kediri/rsgm-iik-bhakti-wiyata.html,  19/05/2017, JL. KH. WACHID HASYIM NO. 65, Kota Kediri, 64114, (0354) 774040, C," drg. SAHAT MANAMPIN SIAHAAN, MMRS", Perusahaan, 15/06/2017,-, rsgm_iik@yahoo.co.id, (0354) 774040,-,-,-,-,-,-,-,-,-,-,-,  0, 1, 34,-,-,-, 1,-, Ruang, 1 Ruang, 2 Ruang, Ruang, Ruang, 8, m2, m2, 503/1869/RS/419.64/2016, 04/04/2016, BADAN PENANAMAN MODAL KOTA KEDIRI, Perpanjang
RSUD TGK. ABDULLAH SYAFII BEUREUNEUN,1109027,RSU,https://medicalclinic.id/rumah-sakit/daerah/pidie/rsud-tgk.-abdullah-syafii-beureuneun.html,  03/09/2013," Jl. Banda Aceh - Medan Km.125,5 Kota Mini - Beureunuen", Pidie, 24173, 0653-821576, Belum ditetapkan," BASRI, SKM", Pemkab, 14/06/2017, (0653)-821576, rsudtasbrn@gmail.com, 081377226625,-, 1,-, 1, 1,-,-,-,-,-,-,  0, 13, 1,-, 104, 99, 4, 9, Ruang, Ruang, Ruang, Ruang, 71 Ruang, 50, 23727 m2, 8520 m2, IR01.01/I.1/3362/2009, 23/06/2009, DIREKTORAT JENDRAL PELAYANAN MEDIK, Sementara
RS Khusus Ibu dan Anak Kota Bandung,3273260,RS Bersalin,https://medicalclinic.id/rumah-sakit/daerah/kota-bandung/rs-khusus-ibu-dan-anak-kota-bandung.html,  01/01/2012, Jl. Astanaanyar 224 Bandung, Kota Bandung, 40241, 022-5201139, B," dr. Taat Tagore Diah Rangkuti, M.KKK", Pemkot, 14/06/2017, 022-5221531, sekretariat@rskiakotabandung.com, 022-5221531, rskiakotabandung.com, 5,-,-,-, 1,-, 2,-,-,-,  0, 17,-,-, 57, 84, 4, 39, Ruang, Ruang, 1 Ruang, 11 Ruang, 50 Ruang, 62, 1216 m2, 3500 m2, 445.1/Kep.05/041030/DPMPTSP/2017, 19/01/2017, DPMPTSP Provinsi Jawa Barat, Tetap
RSUD Majenang,3301084,RSU,https://medicalclinic.id/rumah-sakit/daerah/cilacap/rsud-majenang.html,  14/06/2017, Jl. Dr. Soetomo No. 54 Majenang, Cilacap, 53257, 0280-621012, C," drg. Hj. Dewi Marhenny, MM", Pemkab, 14/06/2017, 0280-621519, rsudmajenang@yahoo.com, 0280 621012, -, 1,-, 3, 2,-,-, 1,-, 1,-,  0, 17, 2,-, 123, 39, 7, 30, Ruang, 12 Ruang, 15 Ruang, 20 Ruang, 71 Ruang, 50, 21622 m2, 7989.18 m2, 445/534/15/TAHUN 2015, 03/11/2015, BUPATI, Tetap
RSUD Dr. Tjitrowardojo Purworejo,3306012,RSU,https://medicalclinic.id/rumah-sakit/daerah/purworejo/rsud-dr.-tjitrowardojo-purworejo.html,  31/01/2000, Jl. Jen Sudirman No.60 Purworejo, Purworejo, 54114, 0275-322448, B," Drg. Gustanul Arifin, M. Kes", Pemkab, 14/06/2017, 0275-325652, rsud_tjitrowardojo@purworejokab.go.id, 0275-321118 209, rsud.purworejokab.go.id, 3,-, 3, 3, 2, 1, 2,-, 2, 1,  3, 17, 1, 1, 231, 22, 9, 65, 2 Ruang, 23 Ruang, 44 Ruang, 32 Ruang, 123 Ruang, 234, 63091 m2, 20790 m2, 445/762/2015, 20/02/2015, Badan Penanaman Modal Daerah Prov.Jateng, Perpanjang
RSUD Sukoharjo,3311016,RSU,https://medicalclinic.id/rumah-sakit/daerah/sukoharjo/rsud-sukoharjo.html,  03/01/2010," Jl. Dr Muwardi 71,Sukoharjo", Sukoharjo, 57514, 0271-593118, B," dr. Gani Suharto, Sp. KG", Pemkab, 14/06/2017, 0271-593005, rsud@sukoharjokab.go.id, 0271-593118, www.rsud.sukoharjokab.go.id, 2,-, 4, 3, 2,-, 2, 1, 2, 2,  1, 18, 3, 3, 193, 37, 10, 73, 6 Ruang, 6 Ruang, 28 Ruang, 31 Ruang, 145 Ruang, 151, 33.750 m2, 21.169 m2, 445/2021/2017, 15/03/2017, Gubernur Jawa Tengah, Tetap
RSU Amal Sehat Sragen,3314056,RSU,https://medicalclinic.id/rumah-sakit/daerah/sragen/rsu-amal-sehat-sragen.html,  14/06/2017," Jl. Veteran No.35, Sragen, Jawa Tengah", Sragen, 57221, 0271-891977, C," dr.H.Dukut SHA,Sp.PD.FINASIM", Organisasi Islam, 14/06/2017, 0271-890109, rsi_amalsehat@yahoo.com, 0271-891977, www.rsiamalsehat.com, 2,-, 3, 3, 2,-, 3, 1, 2, 2,  1, 8, 2,-, 96, 11, 2, 21, 4 Ruang, 18 Ruang, 10 Ruang, 29 Ruang, 39 Ruang, 113, 6000 m2, 5400 m2, 440/02/29/X/2015, 01/10/2015, KPT (Badan Perijinan Terpadu kab. Sragen, Perpanjang
RSU Assalam,3314067,RSU,https://medicalclinic.id/rumah-sakit/daerah/sragen/rsu-assalam.html,  00/00/0000," Jl. Gatot Subroto KM.1,5 Kulon Palang Gemolong", Sragen, 57274, 0271-6811269, D," dr. Wiwiek Irawati, M.Kes", Swasta/Lainnya, 14/06/2017, 0271-6811270, rs.assalam_gml@yahoo.com, 0271-6811270, -, 1,-, 3, 2, 2,-, 2,-, 1, 1,  0, 7, 1,-, 27, 19, 1, 18, 1 Ruang, 10 Ruang, 7 Ruang, 11 Ruang, 37 Ruang, 33, 5750 m2, - m2, 440/1310/29/2016, 03/05/2016, Bupati Sragen, Perpanjang
RS Dr. R. Soeprapto Cepu,3316025,RSU,https://medicalclinic.id/rumah-sakit/daerah/blora/rs-dr.-r.-soeprapto-cepu.html,  01/10/2011," Jl. Ronggolawe No. 50,Cepu", Blora, 58311, 0296-421026, C, dr. Fathkur Rokhim, Pemkab, 14/06/2017, 0296-424373, rs.soeprapto.cepu@gmail.com, 0296-421026, http://rsudcepu.blorakab.go.id, 1,-, 2, 3, 1,-, 2,-, 1, 1,  1, 13, 2,-, 112, 33, 3, 9, Ruang, 10 Ruang, 13 Ruang, 30 Ruang, 71 Ruang, 208, 21550 m2, 8652 m2, 449/426/2015, 12/05/2015, Bupati Blora, Tetap
RS Kusta Sumberglagah Mojokerto,3516016,RS Kusta,https://medicalclinic.id/rumah-sakit/daerah/mojokerto/rs-kusta-sumberglagah-mojokerto.html,  26/12/2013, Dsn. Sumberglagah Ds. Tanjungkenongo Pacet Mojokerto, Mojokerto, 61374, 0321690441, B," dr. BUDIASTUTI KUSHARJUNI, Sp.KK.", Pemprop, 14/06/2017, 0321690137, rsk_sumberglagah@yahoo.co.id, 0321690106, www.rssumberglagah.com, 2,-, 2, 2, 1, 1, 1,-, 1, 1,  1, 13, 1,-, 72, 10, 2, 14, Ruang, 1 Ruang, 15 Ruang, 45 Ruang, 59 Ruang, 67, 19000 m2, 4682 m2, P2T/2/03.22/02/IV/2015, 29/04/2015, P2T, Sementara
RSUP Prof. Dr. R. D. Kandou,7171013,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-manado/rsup-prof.-dr.-r.-d.-kandou.html,  14/06/2017," Jl. Raya Tanawangko No.56, Manado", Kota Manado, 955234, 0431-838203, A," dr. Maxi Rein Rondonuwu, DHSM,MARS", Kemkes, 14/06/2017, 0431-838204, pa_rskandou@yahoo.com, 0431-838305, http://rsup.rdkandou.com, 25,9, 13, 10, 7, 5, 11, 11, 11, 6,  0, 39, 4,-, 800, 63, 48, 103, 7 Ruang, 20 Ruang, 156 Ruang, 247 Ruang, 337 Ruang, 588, 178.380 m2, 62.009 m2, Tipe A : HK.02.03/I/0824/2015, 20/03/2015, Menteri Kesehatan RI, Perpanjang
RSK Bedah dan Kandungan Unipdu Medika,3517087,RSK Bedah,https://medicalclinic.id/rumah-sakit/daerah/jombang/rsk-bedah-dan-kandungan-unipdu-medika.html,  18/08/2010," Jl. Raya Peterongan Jogoroto Km.0.5, Jombang", Jombang, 62485, (0321)873699, Belum ditetapkan," Dr. dr. H.M. Zulfikar As'Ad, MMR", Organisasi Islam, 14/06/2017, 876771, rs.unipdu.medika@gmail.com,-,-, 1,-, 1, 1,-,-, 1,-,-,-,  0, 2, 1,-, 17, 11, 1, 1, Ruang, 2 Ruang, 2 Ruang, 8 Ruang, 30 Ruang, 36, 12.464.5 m2, 3.417 m2, P2T/1/03.25/02/2016, 26/01/2016, kemenkes, Tetap
RSIA Mutiara Bunda,3671202,RSIA,https://medicalclinic.id/rumah-sakit/daerah/kota-tangerang/rsia-mutiara-bunda.html,  14/03/2012," Jl. Dr. Cipto Mangunkusumo No.3, Banten", Kota Tangerang, 15151, 021 - 73454951, C," dr. Mukmin, M.Kes", Perusahaan, 14/06/2017, 021-73454952, rsiamutiarabunda@yahoo.com, 021 - 7301365, rsiamutiarabunda.com, 2,-, 1, 1, 1,-, 1,-,-,-,  0, 6, 2, 1, 16, 5, 2, 10, 2 Ruang, 9 Ruang, 7 Ruang, 12 Ruang, 18 Ruang, 48, 3755 m2," 1815,1 m2", 445/Kep-02/BPMPTSP/RS.2015, 03/08/2015, Walikota Tangerang,-
RSUD Bergerak Jemaja,2005002S,RSU,https://medicalclinic.id/rumah-sakit/daerah/kepulauan-anambas/rsud-bergerak-jemaja.html,  12/09/2012, Jl. Padang Melang, Kepulauan Anambas, 29792, --, Belum ditetapkan, dr. Agustino Ahdia Putra, Pemkab, 14/06/2017,-, rsbjemaja@yahoo.co.id, --, --,-,-,-, 1,-,-, 1,-,-,-,  0, 6, 1,-, 11, 7, 2, 8, Ruang, Ruang, Ruang, Ruang, 10 Ruang, 15, 20000 m2, 15400 m2, --, 00/00/0000, --,-
RSUD Talisayan,6405012,RSU,https://medicalclinic.id/rumah-sakit/daerah/berau/rsud-talisayan.html,  08/06/2017, Jalan Sultan Hasanuddin Poros Talisayan Kode Pos 77321, Berau, 77372, 081346328717, D, drg. Nusyamsi, Pemkab, 14/06/2017,-, rstalisayan@gmail.com, 085247466694,-,-,-,-,-,-,-,-,-,-,-,  0, 5, 1,-,-,-, 2,-, Ruang, 2 Ruang, 2 Ruang, 4 Ruang, 27 Ruang, 34, 40000 m2, 11628 m2, 440/78/YANKES-1/I/2017, 29/05/2017, DINAS KESEHATAN, Tetap
